movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0382868,Nasu: Summer in Andalusia,2003,,47 min,"Animation, Action, Sport",7.0,Follows the struggle of a Spanish professional cyclist to win a bike race the same day of his brother's wedding.,Kitarô Kôsaka,/name/nm0466901/,"Yô Ôizumi, 
Shin'ichi Hatori, 
Minoru Hirano, 
Hiroaki Hirata","/name/nm1126978/,/name/nm2259793/,/name/nm1702552/,/name/nm0386286/",413.0,
tt1999101,Bhai No 1,2000,,130 min,Action,,Add a Plot,Deepak Anand,/name/nm0025609/,"Bunty Anand, 
Arun Bakshi, 
Ranjeet Bedi, 
Puneet Issar","/name/nm11543686/,/name/nm0049245/,/name/nm0710211/,/name/nm0411539/",,
tt0164750,Gangster Cop,1970,R,87 min,"Action, Crime, Drama",5.8,An undercover cop befriends a yakuza underling who through his contacts helps him infiltrate two rival Yakuza gangs. He pits the two rival gangs against each other in hopes that they will cross each other out.,Yukio Noda,/name/nm0633805/,"Shin'ichi Chiba, 
Ryôji Hayama, 
Machiko Yashiro, 
Ryôhei Uchida","/name/nm0002002/,/name/nm0370577/,/name/nm1840812/,/name/nm0879743/",297.0,
tt2662780,Ganga Dacait,2000,,,Action,,Daku Zalim singh was caught red handed by Inspector Gupta but next day he was released because Zalim Singh?s men had kidnapped the inspector's daughter. Due to releasing Zalim Singh the ...                See full summary »,Kishan Shah,/name/nm1391599/,"Sapna Sappu, 
Amit Pachori, 
Ishrat Ali, 
Mohan Joshi","/name/nm0764598/,/name/nm0655368/,/name/nm0019427/,/name/nm0430803/",,
tt0233182,All Rounder,1984,Not Rated,128 min,"Action, Drama",4.8,"Ajay and Birju are brothers. Birju encourages his brother, who loves cricket, to become a professional, and he does so. His rise to fame creates many enemies for him, one of whom is Vikram....                See full summary »",Mohan Kumar,/name/nm0474839/,"Kumar Gaurav, 
Rati Agnihotri, 
Vinod Mehra, 
Shakti Kapoor","/name/nm0310173/,/name/nm0013159/,/name/nm0576495/,/name/nm0007106/",39.0,
tt13497426,Mamba's Diamond,2021,,,Action,7.7,Add a Plot,Seyi Babatope,/name/nm2544037/,"Gabriel Afolayan, 
Venita Akpofure, 
Osas Ighodaro, 
Nse Ikpe-Etim","/name/nm3149791/,/name/nm11368530/,/name/nm2294311/,/name/nm4133510/",6.0,
tt1138457,Once Upon a Time in Corea,2008,,110 min,"Action, Adventure, Comedy",5.8,"Set during the final days of the Japanese occupation of Korea, an adventurer and a jazz singer team up to steal a priceless diamond.",Yong-ki Jeong,/name/nm1659911/,"Lee Bo-young, 
Hie-bong Jo, 
Ahn Kil-kang, 
Eung-soo Kim","/name/nm1705688/,/name/nm1559465/,/name/nm1045777/,/name/nm1255246/",291.0,
tt0043570,Fury of the Congo,1951,Passed,69 min,"Action, Adventure, Crime",5.5,"Jungle Jim must protect rare pony-like animals whose glands produce a powerful narcotic. On the way, he fights a giant spider.",William Berke,/name/nm0075318/,"Johnny Weissmuller, 
Sherry Moreland, 
William Henry, 
Lyle Talbot","/name/nm0919321/,/name/nm0603672/,/name/nm0378026/,/name/nm0847939/",292.0,
tt0298885,Gerak Khas the Movie II,2002,,118 min,"Action, Crime, Romance",4.7,Inspector Mazlan and Inspector Aleza are assigned to investigate one of Malaysia's largest drug syndicate led by Raziman. This illegal syndicate has dealers all over the country and is also...                See full summary »,Yusof Haslam,/name/nm0368209/,"AC Mizal, 
Abby Abadi, 
Azri Iskandar, 
Juliana Banos","/name/nm0594558/,/name/nm0007618/,/name/nm0411220/,/name/nm3987995/",59.0,
tt0042323,Chain Gang,1950,Passed,70 min,"Action, Crime, Drama",5.3,"Crusading newspaperman Cliff Roberts (Douglas Kennedy), masquerades as a prison guard and gets a job attached to the chain gang. Using a tiny camera in the shape of a cigarette lighter, he ...                See full summary »",Lew Landers,/name/nm0484645/,"Douglas Kennedy, 
Marjorie Lord, 
Emory Parnell, 
William 'Bill' Phillips","/name/nm0448004/,/name/nm0520467/,/name/nm0663183/,/name/nm0680883/",103.0,
tt0029498,Rootin' Tootin' Rhythm,1937,Passed,65 min,"Action, Comedy, Music",5.3,"Gene and Frog, out to stop a bunch of cattle rustlers, assume the identities of what they believe to be dead bandits, which soon gets them in big trouble.",Mack V. Wright,/name/nm0942611/,"Gene Autry, 
Smiley Burnette, 
Armida, 
Monte Blue","/name/nm0000810/,/name/nm0122470/,/name/nm0035467/,/name/nm0089524/",142.0,
tt12281308,Informant,2021,Not Rated,79 min,Action,,"A powerful story, ""INFORMANT"" shows a frustrated Detective that wants to keep his local Community safe, where different obstacles are put in his path from every direction, which forces the ...                See full summary »",Bruce Gardner,/name/nm9195402/,"Bruce Gardner, 
Jon Arthur, 
Farruh Dungan, 
Taha Sheikh","/name/nm9195402/,/name/nm4987843/,/name/nm9629788/,/name/nm10746989/",,
tt0215840,Héroes y demonios,1999,,100 min,"Action, Crime, Drama",6.2,"Two young men meet at a psychiatric hospital, where they become friends willing to fight against injustice.",Horacio Maldonado,/name/nm0539218/,"Pablo Echarri, 
Federico D'Elía, 
Andrea Pietra, 
Héctor Alterio","/name/nm0248371/,/name/nm0195627/,/name/nm0682876/,/name/nm0022765/",118.0,
tt1043836,A Century of November,,,,"Action, Adventure, Drama",,It is an odyssey about a man who believes that he has nothing to live for by virtue of the fact that everything he loves is taken from him and finds during his odyssey that he may be wrong.,"Liam James, 
Jim Byrnes",/name/nm0416699/,,/name/nm0126325/,,
tt0466211,Dharma Karma,1997,Not Rated,128 min,"Action, Drama",6.0,"Shiva Kapoor is an assertive and honest young man, and has the tendency to help people in need. This tendency gets him to come to the rescue of a man who was being assaulted by hired goons....                See full summary »",Ravi Varma,/name/nm1060151/,"Aparajita, 
Gajendra Chauhan, 
Dan Dhanoa, 
Dharmendra","/name/nm0031924/,/name/nm1024111/,/name/nm1058208/,/name/nm0004429/",45.0,
tt2710158,Bhayaanak,1979,,,"Action, Crime, Horror",6.2,People of Mangalpur die in a bizarre pattern. Inspector Vijay is appointed to reveal the truth behind the mystery.,S.U. Syed,/name/nm1340064/,"Anees Bazmee, 
Mithun Chakraborty, 
Ranjan Grewal, 
Madan Joshi","/name/nm0063357/,/name/nm0149822/,/name/nm1213037/,/name/nm0430799/",32.0,
tt5290794,Bhale Manchi Roju,2015,,134 min,"Action, Romance",6.8,The story revolves around a guy who gets trapped in a situation where he is forced to kidnap a girl in order save his loved ones.,Sriram Adittya,/name/nm7807500/,"Sudheer Babu Posani, 
Wamiqa Gabbi, 
Sai Kumar, 
Gopalakrishna Paruchuri","/name/nm4460942/,/name/nm3844346/,/name/nm0474871/,/name/nm0664084/",310.0,
tt1160712,The Imperial Swordsman,1972,,86 min,"Action, Adventure",6.5,Add a Plot,Fu-Ti Lin,/name/nm0510879/,"Pei-Pei Shu, 
Yuan Chuan, 
Jeanette Yu Wei, 
Shao-Hung Chan","/name/nm0795514/,/name/nm1596792/,/name/nm2378966/,/name/nm2983510/",68.0,
tt0280071,El revólver sangriento,1964,TV-14,98 min,"Action, Adventure, Drama",6.3,"Cuando uno nace con el alma de un pistolero, todo lo que uno piensa es matar. Su fiel compañero para esto es un Revolver, pero este es el caso de un REVOLVER SANGRIENTO que no tiene miedo, incluso mientras realiza sus deseos más mortales.",Miguel M. Delgado,/name/nm0217035/,"Luis Aguilar, 
Lola Beltrán, 
Flor Silvestre, 
René Cardona","/name/nm0013566/,/name/nm0069661/,/name/nm0422941/,/name/nm0136579/",14.0,
tt1995458,The Bang Bang Brokers,2017,,87 min,"Action, Comedy, Crime",7.5,A suicidal stockbroker convinces a Black gang and a Latin gang to join forces and use street moves to sway a hedge fund. A vicious fast moving Action Comedy from the writer / director of The Weathered Underground.,David N. Donihue,/name/nm1663638/,"Erik-Michael Estrada, 
David N. Donihue, 
Derick Booker, 
Joy Nash","/name/nm0261806/,/name/nm1663638/,/name/nm4761290/,/name/nm2836286/",117.0,
tt0179810,The Fighting Stallion,1950,Passed,63 min,"Action, Drama, Romance",5.2,"Released from a navy hospital following WW II, Lon Evans learns that he faces eventual blindness and returns to his Wyoming ranch. He sees a beautiful white stallion named Starlight and his...                See full summary »",Robert Emmett Tansey,/name/nm0849806/,"Bill Edwards, 
Doris Merrick, 
Forrest Taylor, 
Don C. Harvey","/name/nm0249823/,/name/nm0581197/,/name/nm0852365/,/name/nm0367497/",62.0,
tt4906962,Saat Saheliyan,2010,,,"Action, Comedy, Drama",4.9,Add a Plot,Rajkumar R. Pandey,/name/nm2183395/,"Rani Chatterjee, 
Rinku Ghosh, 
Pakhi Hegde, 
Awdhesh Mishra","/name/nm7463704/,/name/nm1514301/,/name/nm4150561/,/name/nm5479132/",18.0,
