movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt0151800,Of Tomorrows Unknown,1991,,,"Action, Sci-Fi",5.0,"A man goes back in time, meets his wife-to-be, and stops Earth from becoming annihilated by embryonic aliens in exoskeletons that can take on human form.",Michael West,/name/nm0922243/,"Kurt Houk, 
Joanne Arney, 
O'Brian Childs, 
Bill Wolfe","/name/nm0396493/,/name/nm0036267/,/name/nm0157577/,/name/nm0937998/",22.0,
tt10618316,Eyebox,,,,Sci-Fi,,Add a Plot,,,,,,
tt4089770,InHuman Being,,,118 min,Sci-Fi,,After a car accident and the loss of his only son - a father finds that his reason for still being alive may be to help an unexpected visitor.,,,,,,
tt4248298,Virtua Cop,,,,"Action, Sci-Fi, Thriller",,Based on the SEGA video game title.,,,,,,
tt6122508,Darkness and Dawn,,,,"Action, Adventure, Sci-Fi",,"A young secretary and her boss, an engineer, awaken fifteen hundred years into the future to discover the future is not as expected, most of civilization has been destroyed.",,,,,,
tt9840806,Kryonik,2016,,47 min,"Action, Sci-Fi, Thriller",,Add a Plot,Davide Grisolia,/name/nm7405876/,"Lee Anthony, 
Christian Düwel, 
Davide Grisolia, 
Peter Güttinger","/name/nm10503692/,/name/nm12569449/,/name/nm7405876/,/name/nm3636597/",,
tt1820678,Space Tours: Mission E.V.A.,2010,,95 min,"Comedy, Sci-Fi",5.2,The travel group Tuilet Tourism plans a space cruise of absolute superlatives. So it sends the space ship Yuzna into space with a four-man crew and super computer E. V. A. on board to ...                See full summary »,Andreas Auinger,/name/nm4270327/,"János Mischuretz, 
Ulli Emmer, 
Rainer Kantz, 
Georg Gröchenig","/name/nm4272350/,/name/nm4271174/,/name/nm4272147/,/name/nm4272368/",14.0,
tt2181964,Troubled Rivers,2012,,45 min,"Adventure, Comedy, Sci-Fi",6.1,"A story of friendship and revenge. Two friends, opposite poles, which will ultimately faced in a wild and bleak context. In a post-apocalyptic future world, the silent ""Largo"" and talking ""...                See full summary »",Enrique Diego,/name/nm4008512/,"Alberto Millán, 
Nicola Reale, 
Judit Molero, 
Leticia García","/name/nm4145583/,/name/nm4007911/,/name/nm4144999/,/name/nm2007535/",84.0,
tt6967642,Shaman,,,,Sci-Fi,,"While searching for a cure for his terminally ill daughter in the Yucatan, a geneticist must become a mystical warrior and prevent the mass DNA alteration of all life on earth.",,,,,,
tt10127964,Perspectiva,,,90 min,"Drama, Sci-Fi",,"Aaron uses LookApp, an App that allows you to see where you will be in a short period of time, to discover if his girlfriend (Aura) and her best friend (N) are going to go together in a week.","Benjamín Blas, 
Guillermo González Lanchares",/name/nm10571896/,"Benjamín Blas, 
Jonás Torres, 
Miriam Velasco","/name/nm9923427/,/name/nm10571896/,/name/nm10112068/,/name/nm9941392/",,
tt3824796,Bride of the Saucer Monster,2014,,,"Comedy, Fantasy, Horror",,Add a Plot,Jerry Williams,/name/nm1888134/,"Kenny Bates, 
Matt Enstrom, 
Stacey T. Gillespie, 
Seb Godin","/name/nm5291080/,/name/nm6590608/,/name/nm1767095/,/name/nm12285889/",,
tt22481484,The Long Now,,,,"Drama, Mystery, Sci-Fi",,"Inspired by Robert A. Heinlein's science fiction classic novella ""By His Bootstraps,"" a software engineer time travels to a distant future where he discovers he's destined to play a key role in saving mankind from a mass extinction event.",Eric Neal,/name/nm3283405/,,,,
tt12849586,CR1S1S-13,,,,"Comedy, Sci-Fi",,Add a Plot,,,,,,
tt4255564,Jack Zero,,,,"Adventure, Drama, Sci-Fi",,"This is the incredible story of the life of Duncan Quinn who, following the death of his wife, turns upside down when his relationship with his daughter Grace, with problems of depression ...                See full summary »","Anna Elena Pepe, 
Sebina Montagno",/name/nm5285258/,,/name/nm8888538/,,
tt17322520,The Edge of Form,,,,"Action, Fantasy, Sci-Fi",,"A disgraced astronaut gets a second chance when he is sent into space to repair the aging Hubble Telescope. While on an unscheduled orbit around the moon's dark side, he uncovers an alien ...                See full summary »",,,,,,
tt4421258,Tenebra,,,,"Horror, Sci-Fi",,"In the year 2072, Earth's population reached 11 billion. The planet has become overpopulated. The world's leading space programs have combined their resources into one coalition (KOVA) and ...                See full summary »",Justin Crouch,/name/nm7100986/,"Alex May, 
Mason Formaro","/name/nm4851759/,/name/nm7100987/",,
tt10959322,Welcome Home,2020,,,Sci-Fi,,Add a Plot,Michael Washington,/name/nm10869232/,"Christa Laub, 
June Shelton","/name/nm4730409/,/name/nm7081160/",,
tt3689676,Advent of the Galaxy,2002,,,Sci-Fi,,Add a Plot,Adam Fisher,/name/nm6451284/,"Jake Conway, 
Hank Daulton, 
Alan Mackenzie, 
Caroline Smith","/name/nm6451285/,/name/nm6451287/,/name/nm6451288/,/name/nm6451289/",,
tt10150290,The Exit,,,,"Sci-Fi, Thriller",,Add a Plot,,,,,,
tt21267422,Salvage,IX,,,Sci-Fi,,Add a Plot,,,,,,
tt0083014,Um S Marginal,1983,,93 min,"Drama, Sci-Fi",,"In the near future, along the Portuguese coast, a network of ocean and solar power transformers will be installed. With the ecological balance seriously threatened, domestic animals ...                See full summary »",José de Sá Caetano,/name/nm0211889/,"Françoise Ariel, 
Eurico da Fonseca, 
Diogo Dória, 
Sinde Filipe","/name/nm0034770/,/name/nm2122398/,/name/nm0246822/,/name/nm0277031/",,
tt7674532,Broken,2018,,,Sci-Fi,,Add a Plot,Steve Isles,/name/nm3666265/,Andrew Duplessie,/name/nm5349092/,,
tt4643666,Not Tryina Die Young: Princess on Vacation,2014,Not Rated,67 min,Sci-Fi,7.2,"100 years into the future. Hell, Heaven, and Earth are dimensions contained within an intersection of technology and the spirit world, which citizens of Earth can navigate via a biotech ...                See full summary »",Nastya Valentine,/name/nm7272905/,"Deven Connelly, 
Evan Dunn, 
Melissa Jarrett, 
Elliot Korte","/name/nm7290624/,/name/nm7290622/,/name/nm7290627/,/name/nm1594356/",11.0,
tt19316296,Dead Man's Rock,,,,"Horror, Sci-Fi",,A widow who owns a B and B near Ayers Rock is visited by a mysterious backpacker. When he returns strange visions disturb her nights. She falls in love with him only to discover he's an alien being.,,,,,,
tt5726844,That's Not My Mother,,,,Sci-Fi,,"A young girl - Dominique - wants to make contact with her dead mother. She approaches a Goth stripper reputed to be an expert at conducting séances but when they reach out to her mother, ...                See full summary »",James Brandt,/name/nm0104931/,"Steve Caparella, 
Mackenzie Coffman, 
Kristal Renwick, 
Kimber Leigh","/name/nm8148876/,/name/nm6747721/,/name/nm5951117/,/name/nm1971718/",,
tt1808687,Wrath of Job,,,,Sci-Fi,,Faith Kills: A dark secret from the past comes back to haunt the priests who run a Catholic School.,,,,,,
tt22488522,Augmental,,,,"Horror, Sci-Fi",,Add a Plot,,,,,,
tt4544642,Xoris Elpida Epiviosis,2012,,68 min,"Action, Horror, Sci-Fi",7.4,"In search of his sister, a young man is in a ruined village, where there is a secret genetic research laboratory, which has escaped an experimental virus that turns people into zombies.",Stelios Psillos,/name/nm7210137/,"Stelios Psillos, 
Anna Chenade, 
Aretta Psillou, 
Helen Stroubaki","/name/nm7210137/,/name/nm7210138/,/name/nm7210139/,/name/nm7210146/",18.0,
tt15202836,2112 Bienvenida al Futuro,2021,Not Rated,84 min,Sci-Fi,,"A portrait of what exists. The appearance of the human being. Its effect on the environment, our history, present and end of the world as a step into the future. ""2112 Welcome to the future...                See full summary »",Brian Breness,/name/nm12832158/,Brian Breness,/name/nm12832158/,,
tt7958324,Memories Wholesale,,,,"Action, Drama, Sci-Fi",,Earth has unleashed a deadly disease that has destroyed nearly the entire population. Plague has been running rampant for ten years and only one in one million people have an immunity. ...                See full summary »,Thomas Zellen,/name/nm1850834/,,,,
tt6878676,Intelligent Life,II,,,Sci-Fi,,A university physicist is challenged by one of the richest women in the world to find proof of extraterrestrial life.,Jennifer Roa,/name/nm1315668/,,,,
tt4621644,Amazing Space,2015,,52 min,"Music, Sci-Fi",,"An audio- visual meditation of the cosmos with an original score, composed by Kristin Hoffmann.",Kristin Hoffmann,/name/nm7274395/,,,,
tt7011126,Orion x,1994,,98 min,Sci-Fi,,A woman from a different dimension is confronted with a corrupted doctor and Christ encounters her and he get mixed with her and he tries to help her with her baby but the doctor makes ...                See full summary »,Christian Robillard,/name/nm1511365/,Isabelle Stephen,/name/nm1413630/,,
tt15325400,Final Encounters,,,,Sci-Fi,,Add a Plot,"Guthrie Quist, 
Summer Quist",/name/nm7339638/,Guthrie Quist,"/name/nm11012891/,/name/nm7339638/",,
tt5151028,Chyornyy kloun,1994,,105 min,"Sci-Fi, Thriller",4.2,Add a Plot,Boris Galkin,/name/nm0302261/,"Boris Galkin, 
Evgeniya Uralova, 
Evgeniy Steblov, 
Vladislav Galkin","/name/nm0302261/,/name/nm0881552/,/name/nm0824238/,/name/nm0302270/",11.0,
tt12981374,Apocalypse LA,2019,,,"Action, Adventure, Sci-Fi",,Add a Plot,Michael J. Sarna,/name/nm0765392/,,,,
tt2615718,Broken Orbit,2012,,,Sci-Fi,,Strange things start happening in space that will change life on earth forever.,Patrik Beck,/name/nm1716141/,"Lori Minnetti, 
Sam Morningstar, 
Michael Denk, 
Jesse Kaplan","/name/nm0591494/,/name/nm3291050/,/name/nm3358317/,/name/nm4596501/",,
tt3757838,Kohtaro in Space Wonderland,2018,,61 min,"Animation, Adventure, Fantasy",,"Kotaro is a 7-year old boy. He lives with his Mom, and his raccoon robot Pon, in a spaceship shaped like a merry-go-round. One day, he somehow becomes separated from his mom... He ends up ...                See full summary »",Yumi Artegg,/name/nm6523986/,"Akira -, 
Hiei -, 
Hiroki -, 
Karu -","/name/nm6523983/,/name/nm6523988/,/name/nm6523991/,/name/nm6523987/",,
tt6948608,Sec-Nine,,,,"Action, Drama, Sci-Fi",,"In 2090, the world struggles with peace between two classes, the citizens of ""The Ghettos,"" and the citizens of the ""Capitol,"" a man takes on a mission that could end The Capitol's tyrannical reign of terror.",,,,,,
tt9537246,Ubermensch 2: Wille zur Macht,2019,,,Sci-Fi,,"50 Years have passed after the original events of part 1, and the status of Genetic Engineered Humans is under heated debate.",Anselm Meyer,/name/nm6820372/,"Leslie Appleton, 
Allegra Bonifacio, 
Tori Dmytar, 
Curran Dobbs","/name/nm3970165/,/name/nm10368958/,/name/nm5136687/,/name/nm6573080/",,
tt2315038,Planet of the Mermaids,2011,,50 min,Sci-Fi,,"Captain Rex Vydor and his crew suddenly find themselves on Aquanea, a planet almost entirely covered in water. There they must face evil mermaids, creepy crab clerics, and the sea Queen herself. But can they save themselves from Leviathan?","Chad Salvata, 
Sergio R. Samayoa",/name/nm5192918/,"David Jewell, 
Betsy McCann, 
Jonathan Blackwell, 
Andy Agne","/name/nm5192942/,/name/nm5193233/,/name/nm5192879/,/name/nm2691950/,/name/nm5193036/",,
tt3438890,Fleur du Monde,,,,Sci-Fi,,"An alien craft is shot down over the Pacific Ocean and its pilot washes ashore in San Francisco. Shortly afterwards, a pop band emerges from SF with a hit song that causes strange and unusual reactions in its fans.",Lee Rudnicki,/name/nm1886870/,,,,
tt2850360,Wayward Sons: Legends,,,,Sci-Fi,,"Over five thousand years ago, two groups of aliens crash-landed on earth. The resulting war between them would inspire every myth, legend and fairy tale in human history.",,,,,,
tt7149902,Atlantis: Idas the 11th King: Trilogie,,,,"Action, Adventure, Sci-Fi",,The simplistic rendition of the 'myth' of Atlantis by the American movie industry in the 50's and 60's has incited me to respond with a script of a more complete work of fiction entitled ...                See full summary »,,,,,,
tt11374258,Droneboy,,,,Sci-Fi,,Superhero story about a disabled boy,,,,,,
tt7664156,Witch: Tsukimono - Suji Returns,,,,"Sci-Fi, Thriller",,The arrival of a house guest unleashes an ancient curse.,,,,,,
tt2669150,Sujet,2012,,90 min,"Drama, Mystery, Sci-Fi",,"A young man takes a job working aboard a spacecraft and the consequences of anxiety, fatigue, and loss gnaw at him over the course of hundreds of years.",Geoffrey Norris,/name/nm5498718/,"Timothy Hedden, 
Kyle Lennan, 
Geoffrey Norris","/name/nm4510986/,/name/nm5520346/,/name/nm5498718/",,
tt6028894,Deviation,,,,"Action, Sci-Fi",,"In a dystopian future, a rebel spy seeking to avenge her parents joins forces with a billionaire's privileged son in order to gain access to his Father's Biotech headquarters. During an ...                See full summary »",,,,,,
tt2142921,The Planets,2011,,77 min,"Fantasy, Music, Sci-Fi",,"An abstract journey into the myths and mysteries of the planets, by painting a portrait of 10 planets with animation, dance, texts from Shakespeare and Sanborn, and video artistry.",John Sanborn,/name/nm0760830/,"Joseph Copley, 
Margret Cromwell","/name/nm4818876/,/name/nm4818929/",,
tt2727050,Planetfall,2014,,,Sci-Fi,,"On the crashed shuttle ""Nozomu"", Theo Aldiss finds himself alone with a limited period of time before the ship self destructs.",Chris Harrison,/name/nm5537393/,"Tony Osoba, 
Ian Cullen, 
Jeff Hannan, 
Gary Bottoms","/name/nm0652150/,/name/nm0191476/,/name/nm5678960/,/name/nm4651855/",,
tt21813108,Untitled BRF Film,,,,Sci-Fi,,Add a Plot,Aaron Deakins,/name/nm8368659/,,,,
tt13653904,Uploading Alien Control,,,,Sci-Fi,,"NASA's powerful new signal into deep space attracts a strange meteor- the team expects to encounter an alien vessel, but one of the team knows the meteor holds many alien beings desiring bodies to possess, because he is one of them.",,,,,,
tt3231530,The Journey to Aresmore,2016,,,"Action, Adventure, Fantasy",,The Journey to Aresmore follows the story of two 17 year old boys (Peter Townsend and Jack Cunningham) mysteriously taken into another world Known as Elithior. A world full of magic and ...                See full synopsis »,Adam Starks,/name/nm5766193/,"Joshua Copeland, 
Adam Starks","/name/nm5989598/,/name/nm5766193/",,
tt1830663,Just In Life,,,,Sci-Fi,,Add a Plot,Dany Saadia,/name/nm1636717/,,,,
tt0384109,Flying Prince,1946,,,"Action, Sci-Fi",,Add a Plot,Homi Wadia,/name/nm0905561/,"Fearless Nadia, 
John Cawas, 
Sona Chatterjee, 
Sita Devi","/name/nm0269884/,/name/nm0147203/,/name/nm1846561/,/name/nm3545591/",,
tt6568964,Pets,III,,,Sci-Fi,,A meteor lands in downtown Manhattan and an alien virus mutates all of the cats and dogs to gargantuan proportions and then unleashes them onto humans with a raging hunger.,Richard Benter,/name/nm6641862/,,,,
tt1381410,Logic of Being,,,,Sci-Fi,,"Leo is a simple man with his wife, Amy, and two year old son Jack, living the iconic Middle American life. One day Leo awakens to a sound that comes from seemingly nowhere, pushing him to ...                See full summary »",Brian McCulley,/name/nm0567115/,Zachariah West,/name/nm11686992/,,
tt11434668,Forevers 2: Age of Teeth,2021,R,179 min,"Animation, Adventure, Sci-Fi",,"After making peace with the Forevers, things change for everyone as the Repigeonator discovers Iki's secret multiverse.",Iki Ènèng,/name/nm10148813/,"Lily Thomas, 
Rian Williams, 
RaisorBlade, 
Scott Downey","/name/nm10792461/,/name/nm10491043/,/name/nm10929763/,/name/nm11239735/",,
tt12069908,Necrowar,,,,"Action, Sci-Fi",,Add a Plot,,,,,,
tt23457998,Mace Griffin Bounty Hunter,,,,"Action, Sci-Fi",,Live action film based on the 2003 video game.,James Hunter,/name/nm0402862/,,,,
tt15156442,"Yéti, l'homme sauvage",2016,,,"Animation, Fantasy, Horror",,Add a Plot,Gérard Zingg,/name/nm0956970/,,,,
tt1059944,Minushi,2007,Not Rated,94 min,"Animation, Action, Adventure",7.2,"Minushi is an epic story of the human spirit thrust into an unforgiving world of wicked villains, harsh landscapes and fiery conflicts. From within a city under martial law Trixi, an orphan...                See full summary »",Tyler Gibb,/name/nm2699146/,"Jay Donaldson, 
Tyler Gibb, 
Tara Lutchman, 
Vidya Lutchman","/name/nm2699158/,/name/nm2699146/,/name/nm2700788/,/name/nm2705462/",41.0,
tt10267342,Island in the Sand,,,,Sci-Fi,,"In post apocalyptic times, following the strike of a civilization ending asteroid, a small band of children, led by Star Black, an amazingly gifted young woman, struggle to survive after ...                See full summary »",Jim Strauss,/name/nm0999861/,,,,
tt7539836,Anonymous Spirits,2017,,60 min,"History, Mystery, Romance",,Add a Plot,Azharr Rudin,/name/nm1762858/,,,,
tt23018306,Augs,,,,Sci-Fi,,"In a future where people augment their bodies to survive, a woman, hunted by a warlord must return home to save her mentor from being executed.",,,,,,
tt6866330,Enlighten,,,,Sci-Fi,,"While Jeremiah is hustling to survive in the outskirts of Manhattan's Smart City restrictions, he has to now look for his attackers. Searching around Old Brooklyn 2032 he starts to see ...                See full summary »",Baruch Santana,/name/nm5107138/,"Baruch Santana, 
Khalilah Camacho-Ali","/name/nm5107138/,/name/nm8817012/",,
tt0239551,Lansky's Road,1985,,,Sci-Fi,,"A couple is abducted by aliens. After they are released, they are hounded by both the media and government agents trying to discover what they might have learned about the aliens.",Richard Farr,/name/nm0268056/,,,,
tt4508578,The Quest for Tera,,,,"Action, Fantasy, Sci-Fi",,"This is a Series In where in Age Long ago, In a Time where Kings Who swore fealty to a High King of a Lush Green Land became infected with the decease of greed and a wanting for more land ...                See full summary »","Dana Dae, 
Areana Cirina, 
Joseph Thomas Bailey, 
Marqus Kane",/name/nm5000153/,,"/name/nm4524912/,/name/nm6262118/,/name/nm8567547/",,
tt10628000,Where is It?,,,,"Family, Sci-Fi",,CEO of a High Tech company dies and his family is forced to find and complete his projects in order to stay financially solvent.,Steven Bernier,/name/nm8338037/,,,,
tt21226972,The Gallery,,,,Sci-Fi,,Add a Plot,Devin Fei-Fan Tau,/name/nm8757737/,,,,
tt10162740,Mad Maxime: Revenge,2019,,65 min,"Action, Horror, Sci-Fi",,"A virus has turned the world in an post-apocalyptic wasteland. The wanderer Maxime stumbles upon a scientific community who have created a cure. But, they are under siege by a large group of bandits.",Anton de Zeeuw,/name/nm10611451/,"Jill Cromwell, 
Ainslie Caswell, 
Val Anderson, 
Kristen DiMercurio","/name/nm10026004/,/name/nm10611452/,/name/nm10611454/,/name/nm7379680/",,
tt1919183,VigasioSexploitation Vol.2,2011,,52 min,"Action, Sci-Fi",5.2,"Space researcher Dr. Moreau, thanks to a lottery winning, manages to bring to Earth an alien who supposedly has a solution for the problem of desertification caused by the stopping of the ...                See full summary »",Sebastiano Montresor,/name/nm3410790/,"Eveline, 
Matteo Lucchi, 
Chiara Pavoni, 
Marco Tizianel","/name/nm4608598/,/name/nm4598055/,/name/nm0667942/,/name/nm4606335/",34.0,
tt6773752,The Coloureds,2001,,,"Action, Sci-Fi",,Add a Plot,Sounosuke Kita,/name/nm6334318/,Naoki Sato,/name/nm8919935/,,
tt5538098,The Traveling,2016,,,Sci-Fi,7.1,Add a Plot,Joe Lujan,/name/nm5619726/,"Joanne Bray, 
Anthony Burkhalter, 
Charles Cruey, 
Lindsey Cruz","/name/nm7407810/,/name/nm6115658/,/name/nm6725197/,/name/nm2819797/",14.0,
tt0204440,Kvinnens plass,1956,,95 min,"Drama, Sci-Fi",5.9,"When the journalist Tore returns to Norway from USA he falls in love with a colleague, that obviously is a better reporter. When their first born arrives, the discussion is; Who leaves work and will be staying at home with he kid?",Nils R. Müller,/name/nm0618261/,"Lars Nordrum, 
Inger Marie Andersen, 
Pål Bang-Hansen, 
Odd Borg","/name/nm0635192/,/name/nm0026163/,/name/nm0051935/,/name/nm0096445/",45.0,
tt8187190,The Hollow Forest Chronicles: Part III,,,,"Action, Adventure, Fantasy",,Add a Plot,Jonah Henrickson,/name/nm9721836/,,,,
tt14852710,The Poles,2020,,77 min,"Drama, Musical, Sci-Fi",,"Just before the Covid surge, a tour through futuristic carnivals of antiquity and the latest versions of things in São Paulo before the outbreak.",Claudio Szynkier,/name/nm12640390/,Claudio Szynkier,/name/nm12640390/,,
tt3656176,Sleeper,III,,,Sci-Fi,,"In hopes of saving the world from a dismal future, COBAL, a deadly corporate assassin turned rogue, and GAVIN, a charismatic hacker, join forces to overthrow the massive corporations that have become both God and Government.",,,,,,
tt9454998,Untitled Revengers Project,,,,"Action, Adventure, Sci-Fi",,Add a Plot,,,,,,
tt25059206,The Knights of Future Tomorrow,,,,Sci-Fi,,"Daniel Moira and the resistance fighters must now journey back to the 60s in order prevent the corporation from existing, and causing the war between them never to happen.",Anthony Islas,/name/nm4740842/,,,,
tt14729190,Pastel,I,,,Sci-Fi,,Add a Plot,,,,,,
tt8197070,Into the Heavens,,,,"Action, Adventure, Fantasy",,Add a Plot,Jonah Henrickson,/name/nm9721836/,,,,
tt12347376,La Vecchia Religione,2021,,,Sci-Fi,,Sister Catherine must get help from a group of witches to battle an evil witch to save her brother. Her struggle with faith will come into question as she gets closer to her goal. Will she ...                See full summary »,Jay Wyatt,/name/nm10705120/,"Kimberly Desaulniers, 
Richard Rivera, 
Zivin King, 
Jay Wyatt","/name/nm10176438/,/name/nm11287412/,/name/nm11287532/,/name/nm10705120/",,
tt0323134,Makarian go,1987,,75 min,"Action, Family, Sci-Fi",,Add a Plot,Wan-gi Kim,/name/nm1141773/,"Gwi-yeong Jeong, 
Ji-min Kim, 
Yeon-kyeong Jeong, 
Jeong-rim Song","/name/nm4449085/,/name/nm1197709/,/name/nm1194969/,/name/nm1196507/",,
tt16073660,The Promise,XXIX,,,Sci-Fi,,SOMETIMES PROMISES HAVE TO BE BROKEN,,,,,,
