movie_name,movie_id,year,genre,rating,director_id,star_id,votes,description,normalized_rating,normalized_votes
Taxi Driver,tt0075314,1976.0,"['Crime', ' Drama']",8.2,/name/nm0000217/,"/name/nm0000134/,/name/nm0000149/,/name/nm0001732/,/name/nm0000983/",844107.0,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",0.7872340425531914,0.2889068357467759
Goodfellas,tt0099685,1990.0,"['Biography', ' Crime', ' Drama']",8.7,/name/nm0000217/,"/name/nm0000134/,/name/nm0000501/,/name/nm0000582/,/name/nm0000966/",1171982.0,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",0.8936170212765957,0.4162119661969206
Death on the Nile,tt7657566,2022.0,"['Crime', ' Drama', ' Mystery']",6.3,/name/nm0000110/,"/name/nm5290643/,/name/nm0000906/,/name/nm0000110/,/name/nm1258970/",155351.0,"While on vacation on the Nile, Hercule Poirot must investigate the murder of a young heiress.",0.3829787234042553,0.02148122407061916
Se7en,tt0114369,1995.0,"['Crime', ' Drama', ' Mystery']",8.6,/name/nm0000399/,"/name/nm0000151/,/name/nm0000093/,/name/nm0000228/,/name/nm0001825/",1668095.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",0.8723404255319149,0.608839431490135
The Silence of the Lambs,tt0102926,1991.0,"['Crime', ' Drama', ' Thriller']",8.6,/name/nm0001129/,"/name/nm0000149/,/name/nm0000164/,/name/nm0095029/,/name/nm0501435/",1444522.0,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",0.8723404255319149,0.5220319898427687
Heat,tt0113277,1995.0,"['Action', ' Crime', ' Drama']",8.3,/name/nm0000520/,"/name/nm0000199/,/name/nm0000134/,/name/nm0000174/,/name/nm0000685/",662373.0,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,0.8085106382978726,0.21834436353258876
The Departed,tt0407887,2006.0,"['Crime', ' Drama', ' Thriller']",8.5,/name/nm0000217/,"/name/nm0000138/,/name/nm0000354/,/name/nm0000197/,/name/nm0000242/",1335810.0,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,0.8510638297872342,0.4798220154882246
Kingsman: The Golden Circle,tt4649466,2017.0,"['Action', ' Adventure', ' Comedy']",6.7,/name/nm0891216/,"/name/nm5473782/,/name/nm0000147/,/name/nm0835016/,/name/nm1475594/",334948.0,"After the Kingsman's headquarters are destroyed and the world is held hostage, an allied spy organization in the United States is discovered. These two elite secret agencies must band together to defeat a common enemy.",0.46808510638297884,0.09121395609793032
The Grand Budapest Hotel,tt2278388,2014.0,"['Adventure', ' Comedy', ' Crime']",8.1,/name/nm0027572/,"/name/nm0000146/,/name/nm0000719/,/name/nm0023832/,/name/nm0004778/",821639.0,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",0.7659574468085106,0.28018310972022964
The Green Mile,tt0120689,1999.0,"['Crime', ' Drama', ' Fantasy']",8.6,/name/nm0001104/,"/name/nm0000158/,/name/nm0003817/,/name/nm0001556/,/name/nm0001372/",1313365.0,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",0.8723404255319149,0.47110721974913655
"Three Billboards Outside Ebbing, Missouri",tt5027774,2017.0,"['Comedy', ' Crime', ' Drama']",8.1,/name/nm1732981/,"/name/nm0000531/,/name/nm0000437/,/name/nm0005377/,/name/nm2655177/",515728.0,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,0.7659574468085106,0.16140601551928652
The Godfather Part II,tt0071562,1974.0,"['Crime', ' Drama']",9.0,/name/nm0000338/,"/name/nm0000199/,/name/nm0000134/,/name/nm0000380/,/name/nm0000473/",1281423.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",0.9574468085106385,0.45870499183655244
Irreversible,tt0290673,2002.0,"['Crime', ' Drama', ' Mystery']",7.3,/name/nm0637615/,"/name/nm0000899/,/name/nm0001993/,/name/nm0243355/,/name/nm0619600/",138385.0,Events over the course of one traumatic night in Paris unfold in reverse-chronological order as the beautiful Alex is brutally raped and beaten by a stranger in an underpass tunnel.,0.5957446808510639,0.014893778113418533
Léon: The Professional,tt0110413,1994.0,"['Action', ' Crime', ' Drama']",8.5,/name/nm0000108/,"/name/nm0000606/,/name/nm0000198/,/name/nm0000204/,/name/nm0000732/",1171574.0,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",0.8510638297872342,0.4160535506628797
Murder Mystery,tt1618434,2019.0,"['Action', ' Comedy', ' Crime']",6.0,/name/nm1760830/,"/name/nm0001191/,/name/nm0000098/,/name/nm1812656/,/name/nm0000654/",134200.0,"A New York cop and his wife go on a European vacation to reinvigorate the spark in their marriage, but end up getting framed and on the run for the death of an elderly billionaire.",0.31914893617021284,0.013268854069396098
White Chicks,tt0381707,2004.0,"['Comedy', ' Crime']",5.7,/name/nm0005540/,"/name/nm0005541/,/name/nm0915465/,/name/nm0005311/,/name/nm0005533/",150030.0,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson sisters from a kidnapping plot.,0.2553191489361703,0.019415221480835798
12 Angry Men,tt0050083,1957.0,"['Crime', ' Drama']",9.0,/name/nm0001486/,"/name/nm0000020/,/name/nm0002011/,/name/nm0000842/,/name/nm0275835/",798065.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,0.9574468085106385,0.27102995334895486
Sicario,tt3397884,2015.0,"['Action', ' Crime', ' Drama']",7.6,/name/nm0898288/,"/name/nm1289434/,/name/nm0000982/,/name/nm0001125/,/name/nm1256532/",437874.0,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,0.6595744680851064,0.13117738074668853
The Little Things,tt10016180,2021.0,"['Crime', ' Drama', ' Mystery']",6.3,/name/nm0359387/,"/name/nm0000243/,/name/nm1785339/,/name/nm0001467/,/name/nm0061777/",107939.0,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city.",0.3829787234042553,0.0030724071589843544
Scarface,tt0086250,1983.0,"['Crime', ' Drama']",8.3,/name/nm0000361/,"/name/nm0000199/,/name/nm0000201/,/name/nm0000874/,/name/nm0001512/",850836.0,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",0.8085106382978726,0.29151952723834745
A Clockwork Orange,tt0066921,1971.0,"['Crime', ' Sci-Fi']",8.3,/name/nm0000040/,"/name/nm0000532/,/name/nm0535861/,/name/nm0060988/,/name/nm0165049/",836924.0,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",0.8085106382978726,0.28611786814624707
Promising Young Woman,tt9620292,2020.0,"['Crime', ' Drama', ' Mystery']",7.5,/name/nm2193504/,"/name/nm1659547/,/name/nm3102998/,/name/nm1555340/,/name/nm0000317/",178977.0,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",0.6382978723404257,0.03065457065701678
From Dusk Till Dawn,tt0116367,1996.0,"['Action', ' Crime', ' Horror']",7.2,/name/nm0001675/,"/name/nm0000172/,/name/nm0000123/,/name/nm0000496/,/name/nm0000233/",319985.0,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",0.5744680851063831,0.08540422169632751
The Usual Suspects,tt0114814,1995.0,"['Crime', ' Drama', ' Mystery']",8.5,/name/nm0001741/,"/name/nm0000228/,/name/nm0000321/,/name/nm0001590/,/name/nm0000286/",1092586.0,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",0.8510638297872342,0.3853846138912563
John Wick: Chapter 3 - Parabellum,tt6146586,2019.0,"['Action', ' Crime', ' Thriller']",7.4,/name/nm0821432/,"/name/nm0000206/,/name/nm0000932/,/name/nm0574534/,/name/nm0000401/",352539.0,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",0.6170212765957448,0.098044072909973
The Irishman,tt1302006,2019.0,"['Biography', ' Crime', ' Drama']",7.8,/name/nm0000217/,"/name/nm0000134/,/name/nm0000199/,/name/nm0000582/,/name/nm0000172/",395277.0,Hitman Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family.,0.7021276595744681,0.11463810010075694
Baywatch,tt1469304,2017.0,"['Action', ' Comedy', ' Crime']",5.5,/name/nm1164861/,"/name/nm0425005/,/name/nm1374980/,/name/nm1275259/,/name/nm1231899/",190473.0,"Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",0.21276595744680854,0.0351181612926397
Wrath of Man,tt11083552,2021.0,"['Action', ' Crime', ' Thriller']",7.1,/name/nm0005363/,"/name/nm0005458/,/name/nm0564697/,/name/nm0001326/,/name/nm6875258/",183120.0,A cold and mysterious character working at a cash truck company responsible for moving a lot of money around Los Angeles each week.,0.5531914893617021,0.03226318721959383
Reservoir Dogs,tt0105236,1992.0,"['Crime', ' Thriller']",8.3,/name/nm0000233/,"/name/nm0000172/,/name/nm0000619/,/name/nm0000514/,/name/nm0001606/",1027840.0,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",0.8085106382978726,0.36024546642308986
Mystic River,tt0327056,2003.0,"['Crime', ' Drama', ' Mystery']",7.9,/name/nm0000142/,"/name/nm0000576/,/name/nm0000209/,/name/nm0000102/,/name/nm0002536/",462129.0,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,0.7234042553191491,0.14059495128139918
The Big Lebowski,tt0118715,1998.0,"['Comedy', ' Crime']",8.1,/name/nm0001054/,"/name/nm0001053/,/name/nm0000313/,/name/nm0000422/,/name/nm0000194/,/name/nm0000114/",816145.0,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",0.7659574468085106,0.278049935837826
Snatch,tt0208092,2000.0,"['Comedy', ' Crime']",8.2,/name/nm0005363/,"/name/nm0005458/,/name/nm0000093/,/name/nm0334318/,/name/nm0005068/",863421.0,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",0.7872340425531914,0.29640594757144717
John Wick: Chapter 2,tt4425200,2017.0,"['Action', ' Crime', ' Thriller']",7.4,/name/nm0821432/,"/name/nm0000206/,/name/nm1249052/,/name/nm0574534/,/name/nm3199307/",441113.0,"After returning to the criminal underworld to repay a debt, John Wick discovers that a large bounty has been put on his life.",0.6170212765957448,0.13243499818482202
Once Upon a Time in America,tt0087843,1984.0,"['Crime', ' Drama']",8.3,/name/nm0001466/,"/name/nm0000134/,/name/nm0000249/,/name/nm0001527/,/name/nm0001852/",355529.0,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",0.8085106382978726,0.09920501027953742
American History X,tt0120586,1998.0,"['Crime', ' Drama']",8.5,/name/nm0443411/,"/name/nm0001570/,/name/nm0000411/,/name/nm0000350/,/name/nm0000497/",1130229.0,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,0.8510638297872342,0.40000038827336776
American Hustle,tt1800241,2013.0,"['Crime', ' Drama']",7.2,/name/nm0751102/,"/name/nm0000288/,/name/nm0010736/,/name/nm0177896/,/name/nm2225369/",483977.0,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.",0.5744680851063831,0.1490779478199421
Road to Perdition,tt0257044,2002.0,"['Crime', ' Drama', ' Thriller']",7.7,/name/nm0005222/,"/name/nm0000158/,/name/nm0388382/,/name/nm1005576/,/name/nm0014582/",272542.0,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",0.6808510638297873,0.06698336831029254
Clue,tt0088930,1985.0,"['Comedy', ' Crime', ' Mystery']",7.2,/name/nm0528718/,"/name/nm0107281/,/name/nm0000347/,/name/nm0001404/,/name/nm0000502/",100065.0,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.",0.5744680851063831,1.5142661342144551e-05
Baby Driver,tt3890160,2017.0,"['Action', ' Crime', ' Drama']",7.6,/name/nm0942367/,"/name/nm5052065/,/name/nm1256532/,/name/nm0358316/,/name/nm2555462/",551316.0,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",0.6595744680851064,0.1752238881306773
City of God,tt0317248,2002.0,"['Crime', ' Drama']",8.6,/name/nm0576987/,"/name/nm0526199/,/name/nm1179105/,/name/nm1129884/,/name/nm0618690/,/name/nm1249574/",761974.0,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",0.8723404255319149,0.2570167792335872
The Hateful Eight,tt3460252,2015.0,"['Crime', ' Drama', ' Mystery']",7.8,/name/nm0000233/,"/name/nm0000168/,/name/nm0000621/,/name/nm0000492/,/name/nm0324658/",611863.0,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",0.7021276595744681,0.19873267572767284
House of Gucci,tt11214590,2021.0,"['Biography', ' Crime', ' Drama']",6.6,/name/nm0000631/,"/name/nm3078932/,/name/nm3485845/,/name/nm0000199/,/name/nm0000460/",140654.0,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.",0.44680851063829785,0.01577477038483715
Batman Begins,tt0372784,2005.0,"['Action', ' Crime', ' Drama']",8.2,/name/nm0634240/,"/name/nm0000288/,/name/nm0000323/,/name/nm0913822/,/name/nm0000553/",1482505.0,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",0.7872340425531914,0.5367797771699142
The Equalizer,tt0455944,2014.0,"['Action', ' Crime', ' Thriller']",7.2,/name/nm0298807/,"/name/nm0000243/,/name/nm0190744/,/name/nm1631269/,/name/nm1092086/",377799.0,A man who believes he has put his mysterious past behind him cannot stand idly by when he meets a young girl under the control of ultra-violent Russian gangsters.,0.5744680851063831,0.10785185817926969
Wind River,tt5362988,2017.0,"['Crime', ' Drama', ' Mystery']",7.7,/name/nm0792263/,"/name/nm0647634/,/name/nm0719637/,/name/nm0001295/,/name/nm2080328/",257564.0,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,0.6808510638297873,0.061167809808173546
Nightmare Alley,tt7740496,2021.0,"['Crime', ' Drama', ' Thriller']",7.0,/name/nm0868219/,"/name/nm0177896/,/name/nm0000949/,/name/nm0001057/,/name/nm0000353/",148001.0,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.,0.5319148936170214,0.018627414817676533
The Longest Yard,tt0398165,2005.0,"['Comedy', ' Crime', ' Sport']",6.4,/name/nm0781842/,"/name/nm0001191/,/name/nm0000608/,/name/nm0001674/,/name/nm0625099/",183534.0,Prison inmates form a football team to challenge the prison guards.,0.4042553191489363,0.032423932393841205
RoboCop,tt0093870,1987.0,"['Action', ' Crime', ' Sci-Fi']",7.6,/name/nm0000682/,"/name/nm0000693/,/name/nm0000262/,/name/nm0641397/,/name/nm0001074/",263559.0,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories.",0.6595744680851064,0.06349550864781858
21 Jump Street,tt1232829,2012.0,"['Action', ' Comedy', ' Crime']",7.2,/name/nm0520488/,"/name/nm0588087/,/name/nm1706767/,/name/nm1475594/,/name/nm0001084/,/name/nm0488953/",566332.0,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,0.5744680851063831,0.1810542010207707
Kill Bill: Vol. 1,tt0266697,2003.0,"['Action', ' Crime', ' Drama']",8.2,/name/nm0000233/,"/name/nm0000235/,/name/nm0001016/,/name/nm0000435/,/name/nm0000514/",1125303.0,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",0.7872340425531914,0.3980877536638446
Murder on the Orient Express,tt3402236,2017.0,"['Crime', ' Drama', ' Mystery']",6.5,/name/nm0000110/,"/name/nm0000110/,/name/nm0004851/,/name/nm0000353/,/name/nm0001132/",264109.0,"When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.",0.4255319148936171,0.0637090590000796
Now You See Me,tt1670345,2013.0,"['Crime', ' Mystery', ' Thriller']",7.2,/name/nm0504642/,"/name/nm0251986/,/name/nm0996669/,/name/nm0749263/,/name/nm0000437/",668692.0,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",0.5744680851063831,0.2207978629433839
Zootopia,tt2948356,2016.0,"['Animation', ' Adventure', ' Comedy']",8.0,/name/nm0397174/,"/name/nm0601781/,/name/nm1158544/,/name/nm0329481/,/name/nm0000867/,/name/nm0252961/,/name/nm2809577/",506562.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",0.7446808510638299,0.15784710183051479
Casino,tt0112641,1995.0,"['Crime', ' Drama']",8.2,/name/nm0000217/,"/name/nm0000134/,/name/nm0000232/,/name/nm0000582/,/name/nm0000249/",526387.0,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",0.7872340425531914,0.16554462134610493
True Romance,tt0108399,1993.0,"['Crime', ' Drama', ' Romance']",7.9,/name/nm0001716/,"/name/nm0000225/,/name/nm0000099/,/name/nm0000454/,/name/nm0000174/",230308.0,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.",0.7234042553191491,0.05058503089685324
Legend,tt3569230,2015.0,"['Biography', ' Crime', ' Drama']",6.9,/name/nm0001338/,"/name/nm0362766/,/name/nm0115161/,/name/nm5473782/,/name/nm2167957/",187340.0,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,0.5106382978723406,0.03390170083148742
Hell or High Water,tt2582782,2016.0,"['Crime', ' Drama', ' Thriller']",7.6,/name/nm0533284/,"/name/nm1517976/,/name/nm0004936/,/name/nm0000313/,/name/nm0083655/",235441.0,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,0.6595744680851064,0.05257803809350011
Bad Boys,tt0112442,1995.0,"['Action', ' Comedy', ' Crime']",6.8,/name/nm0000881/,"/name/nm0000226/,/name/nm0001454/,/name/nm0102288/,/name/nm0848075/",270812.0,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,0.4893617021276596,0.06631165538408972
Nightcrawler,tt2872718,2014.0,"['Crime', ' Drama', ' Thriller']",7.8,/name/nm0319659/,"/name/nm0350453/,/name/nm0000623/,/name/nm0000200/,/name/nm1981893/",557821.0,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",0.7021276595744681,0.17774960638787346
Enola Holmes,tt7846844,2020.0,"['Action', ' Adventure', ' Crime']",6.6,/name/nm0102873/,"/name/nm5611121/,/name/nm0147147/,/name/nm3510471/,/name/nm0000307/",198558.0,"When Enola Holmes (Sherlock's teen sister) discovers her mother is missing, she endeavors to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",0.44680851063829785,0.03825735147087658
